Stacja,Data,Zachmurzenie,Wilgotność,Opad,Temperatura średnia,Temperatura minimalna,Temperatura maksymalna,Ciśnienie,Liczba plam słonecznych,Odchylenie standardowe,Liczba obserwacji,HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity),HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity)
350190566KRAKÓW-BALICE,2/1/2014,7.00,78.60,0.20,0.30,-4.80,6.10,987.20,94.00,8.00,9.00,3.08,3.59,1.00,0.00,3.10,3.66,1.00,1.00
350190566KRAKÓW-BALICE,2/2/2014,7.90,83.10,4.40,2.30,0.80,4.20,988.40,118.00,12.60,15.00,3.22,3.66,1.00,0.00,3.22,3.67,1.00,587.00
350190566KRAKÓW-BALICE,2/3/2014,2.50,87.90,0.09,-1.60,-4.60,3.00,993.40,127.00,9.60,17.00,3.52,4.67,1.00,0.00,3.49,4.71,1.00,815.00
350190566KRAKÓW-BALICE,2/4/2014,0.00,79.30,0.09,-2.70,-8.90,5.90,989.80,144.00,13.80,16.00,3.96,5.54,1.00,0.00,3.95,5.56,1.00,707.00
350190566KRAKÓW-BALICE,2/5/2014,2.00,74.50,0.09,0.00,-7.20,9.80,982.90,167.00,16.10,18.00,3.51,5.20,1.00,0.00,3.50,5.26,1.00,818.00
350190566KRAKÓW-BALICE,2/6/2014,3.10,87.50,0.09,0.70,-3.60,5.90,982.00,171.00,10.00,13.00,3.91,4.34,1.00,0.00,3.91,4.34,1.00,649.00
350190566KRAKÓW-BALICE,2/7/2014,4.30,83.90,0.09,1.70,-4.90,8.70,978.00,147.00,10.60,11.00,4.22,4.83,1.00,0.00,4.22,4.86,1.00,666.00
350190566KRAKÓW-BALICE,2/8/2014,5.60,88.40,0.09,3.20,0.00,9.70,977.40,147.00,9.40,6.00,3.55,4.96,1.00,41.00,3.52,4.96,1.00,37.00
350190566KRAKÓW-BALICE,2/9/2014,7.00,87.50,2.50,4.30,-0.30,12.00,972.20,147.00,8.80,14.00,2.75,3.98,1.00,0.00,2.77,3.97,1.00,684.00
350190566KRAKÓW-BALICE,2/10/2014,5.40,80.80,0.40,3.50,0.50,7.80,976.70,137.00,7.60,13.00,2.58,3.58,1.00,0.00,2.60,3.69,1.00,1080.00
350190566KRAKÓW-BALICE,2/11/2014,8.00,86.60,1.90,4.50,1.90,7.50,977.10,158.00,9.10,12.00,2.81,3.55,1.00,0.00,2.78,3.55,1.00,804.00
350190566KRAKÓW-BALICE,2/12/2014,7.90,95.60,6.70,2.20,0.60,5.30,979.90,161.00,8.60,15.00,3.16,3.19,1.00,0.00,3.17,3.20,1.00,1.00
350190566KRAKÓW-BALICE,2/13/2014,5.10,98.30,0.50,0.20,-2.70,5.40,977.70,147.00,11.10,12.00,2.95,3.60,1.00,1.00,2.94,3.75,1.00,518.00
